agg_trade_id,price,quantity,first_trade_id,last_trade_id,transact_time,is_buyer_maker
272321099,70942.40,0.0021,474638084,474638084,1776001781409,False
272321100,70942.40,0.0140,474638085,474638085,1776001781716,False
272321101,70940.10,0.0030,474638086,474638086,1776001781974,True
272321102,70942.40,0.0018,474638087,474638087,1776001783715,False
272321103,70942.40,0.0691,474638088,474638089,1776001784464,False
272321104,70942.40,0.0035,474638090,474638091,1776001785197,False
272321105,70942.40,0.0048,474638092,474638093,1776001785484,False
272321106,70942.40,0.0037,474638094,474638095,1776001786420,False
272321107,70941.70,0.0032,474638096,474638097,1776001787347,True
272321108,70942.40,0.0016,474638098,474638098,1776001787999,False
272321109,70942.40,0.0015,474638099,474638099,1776001788145,False
272321110,70942.40,0.0021,474638100,474638100,1776001788397,False
272321111,70941.70,0.0030,474638101,474638103,1776001788483,True
272321112,70942.40,0.0016,474638104,474638104,1776001788664,False
272321113,70941.90,0.0018,474638105,474638105,1776001789476,False
272321114,70941.90,0.0018,474638106,474638106,1776001790002,False
272321115,70941.90,0.0004,474638107,474638107,1776001790372,False
272321116,70942.40,0.0013,474638108,474638108,1776001790372,False
272321117,70942.40,0.0020,474638109,474638109,1776001790702,False
272321118,70942.40,0.0030,474638110,474638110,1776001790859,False
272321119,70942.40,0.0024,474638111,474638111,1776001791417,False
272321120,70942.40,0.0018,474638112,474638112,1776001791974,False
272321121,70941.90,0.0050,474638113,474638114,1776001792147,False
272321122,70942.40,0.0587,474638115,474638115,1776001792247,False
272321123,70942.70,0.3750,474638116,474638117,1776001792247,False
272321124,70942.80,2.0633,474638118,474638118,1776001792247,False
272321125,70942.80,0.0020,474638119,474638119,1776001792410,False
272321126,70942.80,0.0023,474638120,474638120,1776001793171,False
272321127,70942.80,0.0023,474638121,474638121,1776001793458,False
272321128,70942.80,0.0018,474638122,474638122,1776001793746,False
272321129,70942.80,0.0023,474638123,474638123,1776001794046,False
272321130,70942.80,0.0020,474638124,474638124,1776001794746,False
272321131,70941.70,0.0013,474638125,474638125,1776001794837,True
272321132,70940.20,0.0003,474638126,474638126,1776001794837,True
272321133,70942.80,0.0017,474638127,474638127,1776001795248,False
272321134,70942.80,0.0020,474638128,474638128,1776001795575,False
272321135,70942.80,0.0020,474638129,474638129,1776001795808,False
272321136,70942.80,0.4795,474638130,474638130,1776001796208,False
272321137,70942.50,0.0030,474638131,474638131,1776001796289,True
272321138,70942.80,0.0015,474638132,474638132,1776001796324,False
272321139,70942.80,0.0019,474638133,474638133,1776001796623,False
272321140,70942.50,0.0030,474638134,474638134,1776001796876,True
272321141,70942.80,0.0040,474638135,474638136,1776001797928,False
272321142,70942.80,0.0039,474638137,474638138,1776001798205,False
272321143,70942.80,0.0040,474638139,474638139,1776001798593,False
272321144,70942.50,0.0018,474638140,474638140,1776001798836,True
272321145,70942.50,0.0020,474638141,474638141,1776001799206,True
272321146,70942.80,0.0020,474638142,474638142,1776001799295,False
272321147,70942.80,0.0042,474638143,474638144,1776001799569,False
272321148,70942.80,0.0022,474638145,474638145,1776001800088,False
272321149,70942.80,0.0019,474638146,474638146,1776001800318,False
272321150,70942.80,0.0019,474638147,474638147,1776001800465,False
272321151,70942.80,0.0040,474638148,474638148,1776001800929,False
272321152,70942.80,0.0017,474638149,474638149,1776001801297,False
272321153,70942.80,0.0016,474638150,474638150,1776001801792,False
272321154,70942.80,0.0018,474638151,474638151,1776001802166,False
272321155,70942.80,0.0018,474638152,474638152,1776001802678,False
272321156,70942.80,0.0023,474638153,474638153,1776001803169,False
272321157,70942.80,0.0020,474638154,474638154,1776001803465,False
272321158,70942.80,0.0017,474638155,474638155,1776001803605,False
272321159,70942.80,0.0018,474638156,474638156,1776001804199,False
272321160,70942.80,0.0156,474638157,474638158,1776001804378,False
272321161,70942.80,0.0318,474638159,474638161,1776001804695,False
272321162,70942.80,0.0019,474638162,474638162,1776001805363,False
272321163,70942.80,0.0023,474638163,474638163,1776001805681,False
272321164,70942.80,0.0023,474638164,474638164,1776001806024,False
272321165,70942.80,0.0020,474638165,474638165,1776001806658,False
272321166,70942.80,0.0022,474638166,474638166,1776001807019,False
272321167,70942.50,0.0018,474638167,474638167,1776001807643,True
272321168,70942.80,0.0022,474638168,474638168,1776001807905,False
272321169,70942.80,0.0017,474638169,474638169,1776001808016,False
272321170,70942.50,0.1756,474638170,474638171,1776001808228,True
272321171,70942.40,1.8244,474638172,474638172,1776001808228,True
272321172,70942.40,0.0030,474638173,474638173,1776001808413,True
272321173,70942.80,0.0022,474638174,474638174,1776001808596,False
272321174,70942.80,0.4073,474638175,474638175,1776001808820,False
272321175,70942.80,0.0024,474638176,474638176,1776001809254,False
272321176,70942.80,0.0060,474638177,474638177,1776001809542,False
272321177,70942.40,0.4602,474638178,474638178,1776001809970,True
272321178,70942.80,0.0016,474638179,474638179,1776001809985,False
272321179,70942.80,0.0020,474638180,474638180,1776001810099,False
